track_idx,event_id,n_hits,n_obs,kx,ky,kz,k_sr,k_helix,old_log_ratio,old_chi2nu_sr,old_chi2nu_helix,chi2_sr_total_recovered,chi2_helix_total_recovered,chi2nu_sr_K,chi2nu_helix_K,log_ratio_K
89,event100000090-hits,233,699,32,32,33,97,5,-1.8115379228144206,178156.9482612411,1090294.1665854314,124353549.8863463,762115622.4432166,206567.3586151932,1098149.3118778337,-1.670755047087875
90,event100000091-hits,134,402,32,32,39,103,5,-2.6710074072270267,122292.04274809024,1767673.1998864247,49039109.14198419,710604626.3543427,164010.39846817454,1789936.0865348682,-2.3900053612429746
91,event100000092-hits,195,585,32,32,32,96,5,-2.11770247865434,461857.0374424023,3838964.2363597886,269724509.8663629,2245794078.2704763,551583.8647573884,3872058.755638752,-1.9487477289923765
92,event100000093-hits,155,465,39,42,32,113,5,-1.469197590166538,680017.5557198845,2955184.0295323418,315528145.8540264,1374160573.732539,896386.7779943931,2987305.595070737,-1.2037551296425957
93,event100000094-hits,233,699,39,39,32,110,5,-1.9030171122675237,162571.69928654976,1090221.5845102072,113475046.10201173,762064887.5726348,192657.12411207423,1098076.2068769955,-1.7404029748837437
94,event100000095-hits,134,402,32,32,39,103,5,-2.679205885293514,121276.23246074768,1767421.0725152297,48631769.216759816,710503271.1511223,162648.0575811365,1789680.7837559755,-2.398203839309462
95,event100000096-hits,195,585,32,32,32,96,5,-2.124658903306887,458628.0231012407,3838735.819177492,267838765.49112457,2245660454.218833,547727.5367916658,3871828.3693428156,-1.9557041536449231
96,event100000097-hits,155,465,39,39,32,110,5,-1.4617186789585968,684915.315286587,2954290.744529924,317800706.2929764,1373745196.2064147,895213.2571633138,2986402.6004487276,-1.2047628323119728
97,event100000098-hits,233,699,32,32,39,103,5,-1.8647407672842333,168928.82101276313,1090310.956845626,117912317.06690867,762127358.8350925,197839.45816595416,1098166.2231053207,-1.7139411133142164
98,event100000099-hits,195,585,32,32,32,96,5,-2.3016425676843726,384256.68109447137,3838946.800714907,224405901.75917128,2245783878.4182205,458907.77455863246,3872041.169686587,-2.1326878180224087
99,event100000100-hits,195,585,32,32,32,96,5,-2.3016425676843726,384256.68109447137,3838946.800714907,224405901.75917128,2245783878.4182205,458907.77455863246,3872041.169686587,-2.1326878180224087
