track_idx,event_id,n_hits,n_obs,kx,ky,kz,k_sr,k_helix,old_log_ratio,old_chi2nu_sr,old_chi2nu_helix,chi2_sr_total_recovered,chi2_helix_total_recovered,chi2nu_sr_K,chi2nu_helix_K,log_ratio_K
79,event68304_track131-hits,22,66,32,32,32,96,5,-26.980081951906257,1.9094720507448507e-16,9.958960708327133e-05,1.241156832984153e-14,0.006572914067495908,1.241156832984153e-14,0.00010775268963108047,-22.884475559863734
80,event68325_track206-hits,26,78,42,42,42,126,5,-28.048669233317508,8.236479441273333e-16,0.0012506157433951506,6.342089169780467e-14,0.09754802798482175,6.342089169780467e-14,0.0013362743559564624,-23.771113197005022
81,event68335_track218-hits,25,75,32,32,32,96,5,-29.263288425879963,5.374615819846029e-16,0.0027493631774882345,3.977215706686062e-14,0.20620223831161757,3.977215706686062e-14,0.002945746261594537,-25.028216204162742
82,event68403_track148-hits,25,75,32,32,32,96,5,-32.24931201328391,6.300894516362644e-18,0.0006384111473671904,4.662661942108357e-16,0.047880836052539275,4.662661942108357e-16,0.0006840119436077039,-28.0142397915667
83,event68403_track173-hits,20,60,32,32,32,96,5,-24.52428869087677,8.843777315676201e-14,0.003957318903824001,5.2178286162489584e-12,0.23743913422944007,5.2178286162489584e-12,0.004317075167808001,-20.53376262396068
84,event68418_track154-hits,25,75,39,32,32,103,5,-26.69576445086277,5.626134567646336e-16,0.0002208174074951919,4.163339580058288e-14,0.016561305562139392,4.163339580058288e-14,0.0002365900794591342,-22.460692229145554
85,event68442_track131-hits,25,75,32,32,39,103,5,-27.158319439341597,7.461746907126554e-15,0.004651026184410159,5.52169271127365e-13,0.34882696383076195,5.52169271127365e-13,0.004983242340439457,-22.923247217624375
86,event68484_track142-hits,24,72,32,32,32,96,5,-39.81239317379767,2.8766817889726004e-17,5.612992872826357,2.0424440701705464e-15,404.1354868434977,2.0424440701705464e-15,6.031872937962652,-35.621686796381454
88,event68516_track327-hits,22,66,32,32,32,96,5,-18.347320402136777,5.764342169589089e-14,5.356606708206715e-06,3.746822410232908e-12,0.0003535360427416432,3.746822410232908e-12,5.795672831830216e-06,-14.251714010094254
90,event68550_track26-hits,25,75,32,32,32,96,5,-25.54619159769779,1.0863903724265412e-17,1.3506908342576937e-06,8.039288755956405e-16,0.00010130181256932704,8.039288755956405e-16,1.4471687509903863e-06,-21.31111937598057
91,event68571_track235-hits,21,63,32,32,32,96,5,-24.826469707294926,7.481404048356145e-14,0.004528787147244105,4.63847050998081e-12,0.28531359027637865,4.63847050998081e-12,0.004919199832351356,-20.78202703809495
93,event68609_track242-hits,25,75,32,32,32,96,5,-27.447196675104735,1.8695667531863828e-17,1.5556326012259596e-05,1.3834793973579233e-15,0.0011667244509194696,1.3834793973579233e-15,1.6667492155992424e-05,-23.212124453387514
95,event68713_track130-hits,26,78,42,39,42,123,5,-31.480126834162014,7.5406254943655e-15,0.35404033723187417,5.806281630661435e-13,27.615146304086185,5.806281630661435e-13,0.3782896753984409,-27.202570797849532
